W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf,120410
m,E,Ederson   ,MCI ,G,0.52,0.55 ,5.0,5.2 ,3.3 ,100,5.8  ,26.5,-9956 ,-1,      
 ,J,Pickford  ,EVE ,G,0.5 ,0.54 ,4.5,4.7 ,5.0 ,100,5.0  ,15.7,12602 ,1 ,      
m,H,Lloris    ,TOT ,G,0.44,0.54 ,4.4,4.9 ,3.7 ,71 ,5.4  ,4.2 ,3026  ,1 ,      
o,W,Hennessey ,CRY ,G,0.53,0.49 ,4.4,4.2 ,5.0 ,100,4.5  ,6.7 ,16916 ,4 ,      
 ,A,Alisson   ,LIV ,G,0.54,0.49 ,5.1,4.8 ,7.3 ,100,5.7  ,20.6,19215 ,2 ,      
 ,J,Hart      ,BUR ,G,0.42,0.44 ,3.9,4.0 ,4.7 ,100,4.5  ,8.7 ,-12863,-2,      
 ,K,Kepa      ,CHE ,G,0.45,0.4  ,4.5,4.2 ,5.0 ,100,5.5  ,5.6 ,4060  ,1 ,      
 ,M,Ryan      ,BHA ,G,0.37,0.39 ,3.7,3.8 ,2.0 ,100,4.6  ,6.0 ,-6497 ,-2,      
 ,M,Dubravka  ,NEW ,G,0.34,0.38 ,3.7,3.9 ,2.3 ,100,5.0  ,0.6 ,-1263 ,-4,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.38 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,R,Patrício  ,WOL ,G,0.35,0.35 ,3.6,3.6 ,1.7 ,100,4.6  ,9.5 ,-25928,-5,      
 ,N,Etheridge ,CAR ,G,0.33,0.33 ,3.5,3.5 ,2.7 ,100,4.5  ,5.7 ,-5289 ,-2,      
 ,A,McCarthy  ,SOU ,G,0.31,0.33 ,3.4,3.5 ,2.7 ,100,4.5  ,3.3 ,-4763 ,-2,      
o,L,Fabianski ,WHU ,G,0.4 ,0.33 ,3.8,3.5 ,4.3 ,100,4.5  ,14.3,34010 ,4 ,      
 ,J,Lössl     ,HUD ,G,0.3 ,0.32 ,3.3,3.4 ,4.0 ,85 ,4.4  ,1.6 ,841   ,1 ,      
 ,A,Begovic   ,BOU ,G,0.27,0.29 ,3.2,3.3 ,2.0 ,100,4.5  ,4.1 ,869   ,0 ,      
 ,K,Schmeichel,LEI ,G,0.28,0.24 ,3.4,3.2 ,4.7 ,100,5.0  ,5.1 ,-798  ,0 ,      
 ,B,Foster    ,WAT ,G,0.2 ,0.24 ,2.9,3.1 ,2.0 ,100,4.5  ,4.0 ,-7508 ,-3,      
 ,D,De Gea    ,MUN ,G,0.16,0.18 ,2.9,3.0 ,3.0 ,100,5.7  ,15.5,-16794,-2,      
