I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Robles,EVE,G,0.56,89,20,4.5,1737,86.0,4.5,0.4
M,Alonso,CHE,D,0.53,177,31,5.7,2693,86.0,7.0,14.5
V,Kompany,MCI,D,0.53,57,11,5.2,820,74.0,6.0,6.0
N,Aké,BOU,D,0.52,55,12,4.6,834,69.0,5.0,9.6
J,Stanislas,BOU,M,0.52,107,21,5.1,1467,69.0,6.0,0.2
S,Coleman,EVE,D,0.48,133,26,5.1,2316,89.0,6.5,0.3
M,Sakho,LIV,D,0.48,35,8,4.4,686,85.0,5.0,0.1
T,Heaton,BUR,G,0.46,149,35,4.3,3150,90.0,5.0,11.6
G,Jesus,MCI,F,0.45,67,10,6.7,651,65.0,10.5,12.7
R,Bertrand,SOU,D,0.44,123,28,4.4,2507,89.0,5.5,12.4
H,Kane,TOT,F,0.44,224,30,7.5,2523,84.0,12.5,35.6
A,Adrián,WHU,G,0.44,64,16,4.0,1440,90.0,4.5,0.7
G,Cahill,CHE,D,0.43,178,37,4.8,3296,89.0,6.5,14.2
C,Eriksen,TOT,M,0.43,218,36,6.1,3159,87.0,9.5,14.0
B,Alli,TOT,M,0.43,225,37,6.1,3036,82.0,9.5,37.1
K,Gibbs,ARS,D,0.42,45,11,4.1,702,63.0,5.0,0.3
L,Shaw,MUN,D,0.42,45,11,4.1,688,62.0,5.0,0.1
D,Blind,MUN,D,0.42,98,23,4.3,1830,79.0,5.5,1.6
D,Rose,TOT,D,0.42,84,18,4.7,1530,85.0,6.5,0.6
K,Trippier,TOT,D,0.42,51,12,4.3,568,47.0,5.5,17.5
E,Jakupovic,LEI,G,0.42,86,22,3.9,1980,90.0,4.5,0.3
A,Sánchez,ARS,M,0.41,264,38,6.9,3217,84.0,12.0,9.4
S,Cazorla,ARS,M,0.4,38,8,4.8,618,77.0,7.0,0.1
E,Hazard,CHE,M,0.4,224,36,6.2,2985,82.0,10.5,2.0
S,Mané,LIV,M,0.4,156,27,5.8,2242,83.0,9.5,14.6
L,Grant,STK,G,0.4,106,28,3.8,2520,90.0,4.5,0.9
H,Lloris,TOT,G,0.4,143,34,4.2,3004,88.0,5.5,13.1
J,King,BOU,F,0.39,178,36,4.9,2714,75.0,7.5,4.7
P,Coutinho,LIV,M,0.39,171,31,5.5,2228,71.0,9.0,23.7
H,Son,TOT,M,0.39,174,34,5.1,2063,60.0,8.0,1.2
C,Daniels,BOU,D,0.38,134,34,3.9,3060,90.0,5.0,21.7
C,Azpilicueta,CHE,D,0.38,170,38,4.5,3420,90.0,6.5,11.9
P,Jagielka,EVE,D,0.38,104,27,3.9,2251,83.0,5.0,6.8
S,Mignolet,LIV,G,0.38,110,28,3.9,2520,90.0,5.0,1.7
I,Gündogan,MCI,M,0.38,41,10,4.1,704,70.0,5.5,0.6
M,Phillips,WBA,M,0.38,115,27,4.3,2181,80.0,6.0,2.2
L,Baines,EVE,D,0.37,135,32,4.2,2819,88.0,6.0,11.4
E,Bailly,MUN,D,0.37,105,25,4.2,2058,82.0,6.0,9.8
W,Caballero,CHE,G,0.36,64,17,3.8,1452,85.0,5.0,0.2
D,Costa,CHE,F,0.36,196,35,5.6,3083,88.0,10.0,2.0
M,Stekelenburg,EVE,G,0.36,68,19,3.6,1683,88.0,4.5,0.7
R,Firmino,LIV,F,0.36,180,35,5.1,3062,87.0,8.5,17.4
T,Courtois,CHE,G,0.35,141,36,3.9,3240,90.0,5.5,18.2
K,De Bruyne,MCI,M,0.35,199,36,5.5,2877,79.0,10.0,24.6
D,de Gea,MUN,G,0.35,136,35,3.9,3150,90.0,5.5,29.1
A,Valencia,MUN,D,0.35,120,28,4.3,2483,88.0,6.5,7.7
M,Darmian,MUN,D,0.35,70,18,3.9,1333,74.0,5.5,0.4
R,Lukaku,MUN,F,0.35,221,37,6.0,3266,88.0,11.5,48.3
K,Walker,MCI,D,0.35,142,33,4.3,2701,81.0,6.5,20.7
B,Davies,TOT,D,0.35,90,23,3.9,1739,75.0,5.5,1.9
M,Antonio,WHU,M,0.35,132,29,4.6,2433,83.0,7.5,0.2
P,Cech,ARS,G,0.33,134,35,3.8,3097,88.0,5.5,5.4
M,Özil,ARS,M,0.33,167,33,5.1,2841,86.0,9.5,4.1
D,David Luiz,CHE,D,0.33,132,33,4.0,2954,89.0,6.0,22.1
W,Zaha,CRY,M,0.33,149,35,4.3,3019,86.0,7.0,23.0
A,Lallana,LIV,M,0.33,139,31,4.5,2338,75.0,7.5,3.9
G,Sigurdsson,SWA,M,0.33,181,38,4.8,3327,87.0,8.5,8.4
T,Alderweireld,TOT,D,0.33,120,30,4.0,2601,86.0,6.0,14.8
R,Holding,ARS,D,0.32,32,9,3.6,810,90.0,5.0,1.6
T,Walcott,ARS,M,0.32,122,28,4.4,1916,68.0,7.5,2.3
P,Pedro,CHE,M,0.32,162,35,4.6,2140,61.0,8.0,2.3
K,Schmeichel,LEI,G,0.32,109,30,3.6,2666,88.0,5.0,2.5
C,Austin,SOU,F,0.32,62,15,4.1,934,62.0,6.5,2.1
F,Llorente,SWA,F,0.32,146,33,4.4,2442,74.0,7.5,0.4
G,McAuley,WBA,D,0.32,131,36,3.6,3140,87.0,5.0,5.4
A,Boruc,BOU,G,0.31,120,35,3.4,3150,90.0,4.5,5.8
J,Defoe,BOU,F,0.31,166,37,4.5,3322,89.0,8.0,13.6
C,Fàbregas,CHE,M,0.31,121,29,4.2,1340,46.0,7.0,8.5
J,Vardy,LEI,F,0.31,161,35,4.6,2801,80.0,8.5,3.7
D,Lovren,LIV,D,0.31,106,29,3.7,2553,88.0,5.5,1.6
R,Sterling,MCI,M,0.31,149,33,4.5,2509,76.0,8.0,5.9
S,Agüero,MCI,F,0.31,175,31,5.6,2404,77.0,11.5,9.6
M,Rojo,MUN,D,0.31,77,21,3.7,1663,79.0,5.5,0.1
M,Muniesa,STK,D,0.31,34,10,3.4,650,65.0,4.5,0.2
C,Martina,EVE,D,0.31,31,9,3.4,592,65.0,4.5,0.9
J,Pickford,EVE,G,0.3,102,29,3.5,2610,90.0,5.0,11.7
W,Ndidi,LEI,M,0.3,59,17,3.5,1521,89.0,5.0,0.5
G,Wijnaldum,LIV,M,0.3,149,36,4.1,2974,82.0,7.0,7.3
J,Mata,MUN,M,0.3,102,25,4.1,1614,64.0,7.0,2.7
F,Forster,SOU,G,0.3,134,38,3.5,3420,90.0,5.0,6.6
J,Stephens,SOU,D,0.3,60,17,3.5,1471,86.0,5.0,0.4
X,Shaqiri,STK,M,0.3,80,21,3.8,1699,80.0,6.0,3.6
A,Mawson,SWA,D,0.3,94,27,3.5,2430,90.0,5.0,1.6
M,Olsson,SWA,D,0.3,52,15,3.5,1252,83.0,5.0,0.3
J,Vertonghen,TOT,D,0.3,126,33,3.8,2894,87.0,6.0,9.8
R,Snodgrass,WHU,M,0.3,133,35,3.8,2548,72.0,6.0,6.5
A,Carroll,WHU,F,0.3,69,18,3.8,1312,72.0,6.0,0.2
R,Fraser,BOU,M,0.29,100,28,3.6,1764,63.0,5.5,1.6
J,Milner,LIV,D,0.29,139,36,3.9,3154,87.0,6.5,5.4
V,van Dijk,SOU,D,0.29,75,21,3.6,1852,88.0,5.5,3.7
L,Koscielny,ARS,D,0.28,121,33,3.7,2821,85.0,6.0,0.7
M,Yoshida,SOU,D,0.28,78,23,3.4,2070,90.0,5.0,1.4
C,Cédric,SOU,D,0.28,102,30,3.4,2515,83.0,5.0,14.2
W,Reid,WHU,D,0.28,102,30,3.4,2587,86.0,5.0,1.1
H,Bellerín,ARS,D,0.27,119,33,3.6,2503,75.0,6.0,13.8
S,Mustafi,ARS,D,0.27,90,26,3.5,2274,87.0,5.5,3.5
W,Hennessey,CRY,G,0.27,92,29,3.2,2610,90.0,4.5,1.8
J,McArthur,CRY,M,0.27,93,29,3.2,1999,68.0,4.5,10.5
A,Williams,EVE,D,0.27,127,36,3.5,3160,87.0,5.5,5.5
R,Barkley,EVE,M,0.27,144,36,4.0,2900,80.0,7.5,0.4
N,Clyne,LIV,D,0.27,129,37,3.5,3323,89.0,5.5,1.8
E,Capoue,WAT,M,0.27,131,37,3.5,3204,86.0,5.5,8.1
E,Can,LIV,M,0.26,104,32,3.3,2371,74.0,5.0,6.6
C,Bravo,MCI,G,0.26,73,22,3.3,1968,89.0,5.0,0.9
M,Lanzini,WHU,M,0.26,133,35,3.8,2708,77.0,7.0,4.0
C,Chambers,ARS,D,0.26,83,25,3.3,2250,90.0,5.0,0.3
A,Iwobi,ARS,M,0.25,89,26,3.4,1456,56.0,5.5,1.6
N,Chadli,WBA,M,0.25,110,31,3.5,2135,68.0,6.0,2.8
O,Giroud,ARS,F,0.24,116,29,4.0,1206,41.0,8.5,1.5
J,Tomkins,CRY,D,0.24,75,24,3.1,1974,82.0,4.5,1.9
L,Karius,LIV,G,0.24,32,10,3.2,900,90.0,5.0,0.2
J,Matip,LIV,D,0.24,97,29,3.3,2457,84.0,5.5,2.7
A,Kolarov,MCI,D,0.24,95,29,3.3,2535,87.0,5.5,0.2
N,Otamendi,MCI,D,0.24,100,30,3.3,2592,86.0,5.5,3.5
L,Sané,MCI,M,0.24,105,26,4.0,1781,68.0,8.5,6.3
G,Cameron,STK,D,0.24,58,19,3.1,1629,85.0,4.5,0.4
J,Allen,STK,M,0.24,118,36,3.3,2930,81.0,5.5,5.2
M,Arnautovic,WHU,M,0.24,117,32,3.7,2713,84.0,7.0,3.8
L,Fabianski,SWA,G,0.24,116,37,3.1,3330,90.0,4.5,4.8
D,Randolph,WHU,G,0.24,69,22,3.1,1980,90.0,4.5,0.1
J,Collins,WHU,D,0.24,69,22,3.1,1655,75.0,4.5,0.6
I,Slimani,LEI,F,0.23,83,23,3.6,1281,55.0,7.0,0.5
T,Deeney,WAT,F,0.23,130,37,3.5,2944,79.0,6.5,1.4
A,Ayew,WHU,M,0.23,89,25,3.6,1439,57.0,7.0,2.9
N,Monreal,ARS,D,0.22,115,36,3.2,3153,87.0,5.5,4.8
S,Vokes,BUR,F,0.22,121,37,3.3,2064,55.0,6.0,2.6
A,Gray,BUR,F,0.22,108,32,3.4,2260,70.0,6.5,1.6
C,Benteke,CRY,F,0.22,136,36,3.8,3131,86.0,8.0,10.0
M,Holgate,EVE,D,0.22,54,18,3.0,1372,76.0,4.5,1.8
M,Keane,EVE,D,0.22,113,35,3.2,3150,90.0,5.5,12.9
K,Mirallas,EVE,M,0.22,119,35,3.4,2074,59.0,6.5,3.3
D,David Silva,MCI,M,0.22,130,34,3.8,2760,81.0,8.0,2.9
G,Yaya Touré,MCI,M,0.22,86,25,3.4,1941,77.0,6.5,2.4
P,Jones,MUN,D,0.22,55,18,3.1,1584,88.0,5.0,0.6
A,Martial,MUN,M,0.22,95,25,3.8,1553,62.0,8.0,1.2
P,Pogba,MUN,M,0.22,115,30,3.8,2608,86.0,8.0,22.7
N,Redmond,SOU,M,0.22,126,37,3.4,2898,78.0,6.5,9.6
H,Gomes,WAT,G,0.22,113,38,3.0,3337,87.0,4.5,1.9
R,Pereyra,WAT,M,0.22,43,13,3.3,1036,79.0,6.0,0.2
B,Foster,WBA,G,0.22,113,38,3.0,3420,90.0,4.5,16.4
C,Brunt,WBA,M,0.22,99,31,3.2,2477,79.0,5.5,0.3
M,Gabbiadini,SOU,F,0.21,38,11,3.5,724,65.0,7.0,4.6
M,Pugh,BOU,M,0.2,64,21,3.0,1329,63.0,5.0,0.1
J,Walters,BUR,M,0.2,72,23,3.1,1304,56.0,5.5,0.7
W,Willian,CHE,M,0.2,114,34,3.4,1534,45.0,7.0,14.3
N,Matic,MUN,M,0.2,105,35,3.0,2694,76.0,5.0,10.6
P,van Aanholt,CRY,D,0.2,98,32,3.1,2498,78.0,5.5,4.1
A,Townsend,CRY,M,0.2,116,36,3.2,2520,70.0,6.0,2.8
L,Milivojevic,CRY,M,0.2,42,14,3.0,1224,87.0,5.0,2.1
R,Funes Mori,EVE,D,0.2,69,23,3.0,1543,67.0,5.0,0.0
A,Herrera,MUN,M,0.2,97,31,3.1,2465,79.0,5.5,5.4
J,Ward-Prowse,SOU,M,0.2,92,30,3.1,1883,62.0,5.5,2.2
D,Tadic,SOU,M,0.2,108,33,3.3,2411,73.0,6.5,3.8
T,Carroll,SWA,M,0.2,52,18,2.9,1389,77.0,4.5,4.5
J,Fonte,WHU,D,0.2,98,33,3.0,2934,88.0,5.0,2.5
~,~~~~~~~~,~~~~,~,0.19,~~,~,~~~,~~~,~~~~~,~~~~~,~
S,Steve Cook,BOU,D,0.18,112,39,2.9,3420,87.0,5.0,2.2
A,Adam Smith,BOU,D,0.18,104,36,2.9,3101,86.0,5.0,0.8
C,Callum Wilson,BOU,F,0.18,63,20,3.1,1361,68.0,6.0,0.1
B,Mee,BUR,D,0.18,94,34,2.8,3015,88.0,4.5,12.2
Y,Bolasie,EVE,M,0.18,45,14,3.2,1048,74.0,6.5,0.2
C,Fuchs,LEI,D,0.18,104,36,2.9,3103,86.0,5.0,4.1
J,Henderson,LIV,M,0.18,73,24,3.0,2116,88.0,5.5,1.9
E,Pieters,STK,D,0.18,103,36,2.9,3151,87.0,5.0,1.3
P,Crouch,STK,F,0.18,79,27,2.9,1343,49.0,5.0,2.7
V,Wanyama,TOT,M,0.18,103,36,2.9,3012,83.0,5.0,2.0
V,Moses,CHE,D,0.17,105,34,3.1,2485,73.0,6.5,0.3
E,Lamela,TOT,M,0.17,28,9,3.1,595,66.0,6.5,0.1
S,Rondón,WBA,F,0.17,118,38,3.1,2892,76.0,6.5,2.1
J,Rodriguez,WBA,F,0.17,73,24,3.0,893,37.0,6.0,3.2
A,Barnes,BUR,F,0.16,81,28,2.9,1774,63.0,5.5,1.1
M,Albrighton,LEI,M,0.16,95,33,2.9,2412,73.0,5.5,1.2
C,Smalling,MUN,D,0.16,52,18,2.9,1217,67.0,5.5,1.5
J,Ayew,SWA,F,0.16,39,14,2.8,867,61.0,5.0,1.9
C,Dawson,WBA,D,0.16,102,36,2.8,3276,91.0,5.0,4.2
A,Chamberlain,ARS,M,0.15,83,29,2.9,1564,53.0,6.0,2.5
R,Brady,BUR,M,0.15,39,14,2.8,719,51.0,5.5,0.5
Y,Cabaye,CRY,M,0.15,91,33,2.8,2125,64.0,5.5,1.6
R,Mahrez,LEI,M,0.15,120,36,3.3,2826,78.0,8.5,1.8
