W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn  ,gf,040122
 ,M,Dubravka  ,NEW ,G,0.62,0.62 ,4.8,4.8 ,4.3 ,450 ,4.5  ,0.5 ,699  ,2 ,      
o,N,Pope      ,BUR ,G,0.54,0.54 ,4.7,4.7 ,4.3 ,2484,5.0  ,10.4,2163 ,0 ,      
 ,L,Karius    ,LIV ,G,0.52,0.52 ,4.5,4.5 ,4.0 ,1170,4.8  ,1.3 ,-427 ,-1,      
m,D,de Gea    ,MUN ,G,0.47,0.47 ,4.8,4.8 ,3.0 ,2790,5.9  ,44.2,3837 ,0 ,      
 ,E,Ederson   ,MCI ,G,0.45,0.46 ,4.5,4.6 ,5.0 ,2745,5.6  ,8.2 ,-192 ,0 ,      
m,L,Fabianski ,SWA ,G,0.43,0.43 ,4.0,4.0 ,4.3 ,2790,4.7  ,8.9 ,256  ,0 ,      
 ,O,Karnezis  ,WAT ,G,0.33,0.42 ,3.5,3.9 ,3.3 ,841 ,4.5  ,0.2 ,16   ,0 ,      
 ,R,Elliot    ,NEW ,G,0.4 ,0.4  ,3.6,3.6 ,0.0 ,1440,4.0  ,15.9,-5413,-1,      
 ,K,Schmeichel,LEI ,G,0.38,0.38 ,3.9,3.9 ,6.0 ,2790,5.0  ,4.8 ,6858 ,2 ,      
 ,M,Ryan      ,BHA ,G,0.37,0.37 ,3.7,3.7 ,4.0 ,2790,4.6  ,3.2 ,3324 ,2 ,      
m,H,Lloris    ,TOT ,G,0.37,0.37 ,4.0,4.0 ,4.0 ,2610,5.4  ,8.5 ,2489 ,0 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.36 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~  ,~~,~~~~~~
 ,T,Courtois  ,CHE ,G,0.35,0.35 ,3.9,3.9 ,1.3 ,2610,5.4  ,10.6,-3571,-1,      
o,W,Hennessey ,CRY ,G,0.35,0.35 ,3.5,3.5 ,3.3 ,1890,4.3  ,2.4 ,2278 ,2 ,      
 ,J,Lössl     ,HUD ,G,0.35,0.35 ,3.6,3.6 ,3.0 ,2880,4.6  ,7.8 ,-2041,0 ,      
 ,F,Forster   ,SOU ,G,0.35,0.35 ,3.6,3.6 ,0.0 ,1800,4.6  ,4.0 ,-389 ,0 ,      
 ,J,Pickford  ,EVE ,G,0.33,0.33 ,3.6,3.6 ,3.5 ,2880,4.9  ,8.0 ,-2315,0 ,      
 ,P,Cech      ,ARS ,G,0.32,0.32 ,3.7,3.7 ,5.7 ,2679,5.3  ,4.5 ,-768 ,0 ,      
 ,S,Mignolet  ,LIV ,G,0.32,0.32 ,3.5,3.5 ,0.0 ,1710,4.7  ,1.1 ,-179 ,0 ,      
 ,J,Butland   ,STK ,G,0.3 ,0.3  ,3.5,3.5 ,4.8 ,2610,5.0  ,2.7 ,-683 ,0 ,      
 ,J,Hart      ,WHU ,G,0.31,0.29 ,3.3,3.2 ,2.3 ,1440,4.2  ,5.4 ,1173 ,0 ,      
 ,B,Foster    ,WBA ,G,0.23,0.23 ,3.0,3.0 ,1.5 ,2790,4.4  ,9.9 ,-2302,0 ,      
 ,A,Begovic   ,BOU ,G,0.2 ,0.2  ,2.9,2.9 ,2.3 ,2880,4.5  ,4.5 ,-310 ,0 ,      
 ,H,Gomes     ,WAT ,G,0.16,0.16 ,2.7,2.7 ,0.0 ,2038,4.5  ,1.3 ,-222 ,0 ,      
 ,A,McCarthy  ,SOU ,G,0.09,0.09 ,2.4,2.4 ,3.0 ,990 ,4.4  ,0.3 ,281  ,2 ,      
