O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031610
x,R,Firmino         ,LIV ,F,0.36 ,0.41 ,5.4,5.9 ,5.0 ,2199,9.5  ,46.4,209583 ,8  ,      
 ,R,Lukaku          ,MUN ,F,0.27 ,0.27 ,5.0,5.1 ,8.3 ,2519,11.3 ,22.8,87201  ,7  ,      
x,C,Wilson          ,BOU ,F,0.34 ,0.44 ,4.0,4.6 ,2.0 ,1474,5.9  ,10.0,80618  ,14 ,      
x,H,Son             ,TOT ,M,0.4  ,0.57 ,5.3,6.7 ,10.7,1859,8.2  ,13.0,77132  ,10 ,      
 ,P,Aubameyang      ,ARS ,F,0.3  ,0.3  ,5.2,5.2 ,6.0 ,450 ,10.5 ,5.6 ,75402  ,23 ,      
x,S,Mané            ,LIV ,M,0.33 ,0.39 ,5.1,5.7 ,7.3 ,1659,9.5  ,12.5,72262  ,10 ,      
x,X,Shaqiri         ,STK ,M,0.38 ,0.41 ,4.4,4.6 ,4.7 ,2334,6.4  ,16.0,64630  ,7  ,      
x,S,Mounie          ,HUD ,F,0.27 ,0.44 ,3.6,4.6 ,4.0 ,1365,5.9  ,4.3 ,60649  ,24 ,      
 ,C,Tosun           ,EVE ,F,0.26 ,0.47 ,3.8,5.2 ,6.0 ,331 ,6.8  ,2.7 ,56528  ,36 ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.18 ,2.8,2.9 ,2.0 ,2632,5.1  ,9.4 ,45211  ,8  ,      
 ,J,Stanislas       ,BOU ,M,0.3  ,0.32 ,3.8,3.9 ,3.7 ,1150,6.0  ,2.5 ,41843  ,29 ,      
 ,W,Zaha            ,CRY ,M,0.24 ,0.24 ,3.6,3.6 ,1.3 ,1831,6.8  ,5.7 ,39877  ,12 ,      
 ,M,Rashford        ,MUN ,F,0.16 ,0.32 ,3.2,4.3 ,4.3 ,1435,7.3  ,5.9 ,37175  ,11 ,      
x,M,Salah           ,LIV ,M,0.58 ,0.61 ,8.2,8.5 ,6.7 ,2289,10.6 ,61.8,34343  ,1  ,      
 ,J,Vardy           ,LEI ,F,0.31 ,0.31 ,4.7,4.7 ,3.0 ,2528,8.7  ,18.0,33027  ,3  ,      
 ,W,Willian         ,CHE ,M,0.29 ,0.57 ,4.0,6.0 ,7.0 ,1488,7.0  ,11.1,31986  ,5  ,      
 ,C,Schindler       ,HUD ,D,0.17 ,0.17 ,2.8,2.8 ,3.3 ,2544,4.7  ,5.9 ,31072  ,9  ,      
 ,D,David Silva     ,MCI ,M,0.49 ,0.55 ,5.9,6.4 ,11.0,2000,8.0  ,9.2 ,30236  ,6  ,      
 ,L,Baines          ,EVE ,D,0.25 ,0.29 ,3.4,3.6 ,4.0 ,1189,5.6  ,5.3 ,27680  ,9  ,      
x,R,Mahrez          ,LEI ,M,0.43 ,0.47 ,5.8,6.1 ,7.7 ,2234,8.8  ,9.4 ,26915  ,5  ,      
 ,A,Barnes          ,BUR ,F,0.06 ,0.21 ,2.3,3.1 ,6.7 ,1612,5.3  ,1.6 ,26429  ,28 ,      
 ,J,Lössl           ,HUD ,G,0.37 ,0.37 ,3.7,3.7 ,3.3 ,2700,4.6  ,9.0 ,26324  ,5  ,      
 ,G,Murray          ,BHA ,F,0.25 ,0.44 ,3.5,4.6 ,7.0 ,1719,5.9  ,5.5 ,24490  ,8  ,      
 ,C,Benteke         ,CRY ,F,0.13 ,0.17 ,3.0,3.3 ,2.7 ,1973,7.6  ,3.8 ,23441  ,11 ,      
 ,P,van Aanholt     ,CRY ,D,0.0  ,0.08 ,2.0,2.4 ,5.0 ,1471,5.1  ,2.8 ,23349  ,14 ,      
 ,M,Zanka           ,HUD ,D,0.16 ,0.16 ,2.7,2.7 ,3.3 ,2700,4.5  ,7.9 ,23138  ,5  ,      
 ,W,Rooney          ,EVE ,F,0.29 ,0.38 ,4.1,4.7 ,1.0 ,1829,7.2  ,11.2,20342  ,3  ,      
 ,A,Mooy            ,HUD ,M,0.28 ,0.3  ,3.5,3.6 ,1.0 ,2346,5.3  ,5.9 ,20049  ,6  ,      
 ,A,Robertson       ,LIV ,D,0.39 ,0.39 ,3.9,3.9 ,4.3 ,1507,4.9  ,6.7 ,18476  ,5  ,      
 ,J,King            ,BOU ,F,0.13 ,0.19 ,2.9,3.3 ,3.7 ,1801,7.0  ,2.1 ,17814  ,15 ,      
 ,A,Begovic         ,BOU ,G,0.2  ,0.2  ,2.9,2.9 ,1.7 ,2700,4.5  ,5.5 ,17332  ,5  ,      
 ,J,Pickford        ,EVE ,G,0.35 ,0.35 ,3.7,3.7 ,4.3 ,2700,4.9  ,9.4 ,17220  ,3  ,      
 ,V,van Dijk        ,LIV ,D,0.07 ,0.09 ,2.4,2.5 ,3.0 ,1533,5.7  ,7.7 ,16187  ,4  ,      
 ,L,Depoitre        ,HUD ,F,0.2  ,0.39 ,3.0,4.0 ,1.0 ,1533,5.1  ,3.1 ,15874  ,9  ,      
 ,C,Daniels         ,BOU ,D,0.15 ,0.17 ,2.7,2.8 ,1.0 ,2298,4.7  ,8.6 ,15205  ,3  ,      
 ,R,Kenedy          ,NEW ,M,0.74 ,0.74 ,5.5,5.5 ,7.0 ,440 ,4.7  ,0.9 ,14084  ,27 ,      
 ,C,Wood            ,BUR ,F,0.34 ,0.26 ,4.1,3.6 ,6.7 ,1095,6.2  ,0.9 ,13544  ,26 ,      
 ,J,Butland         ,STK ,G,0.3  ,0.3  ,3.5,3.5 ,6.3 ,2430,5.0  ,3.7 ,11717  ,5  ,      
 ,S,Aurier          ,TOT ,D,0.49 ,0.54 ,4.9,5.2 ,8.7 ,1247,5.9  ,0.8 ,9876   ,21 ,      
 ,K,Zouma           ,STK ,D,0.13 ,0.13 ,2.7,2.7 ,3.3 ,2405,5.4  ,3.4 ,9704   ,5  ,      
 ,A,Adam Smith      ,BOU ,D,0.04 ,0.02 ,2.2,2.1 ,4.0 ,2011,4.8  ,1.1 ,9589   ,15 ,      
 ,A,Townsend        ,CRY ,M,0.23 ,0.25 ,3.3,3.4 ,3.7 ,2414,5.6  ,1.7 ,9082   ,9  ,      
 ,W,Hennessey       ,CRY ,G,0.33 ,0.33 ,3.4,3.4 ,2.7 ,1710,4.3  ,2.3 ,8388   ,6  ,      
 ,H,Mkhitaryan      ,ARS ,M,0.3  ,0.44 ,4.3,5.4 ,5.7 ,1353,7.7  ,10.9,7362   ,1  ,      
 ,R,van La Parra    ,HUD ,M,0.08 ,0.16 ,2.4,2.8 ,5.0 ,1718,4.9  ,1.3 ,7111   ,9  ,      
 ,L,Milivojevic     ,CRY ,M,0.29 ,0.33 ,3.4,3.6 ,2.0 ,2359,4.9  ,7.5 ,6765   ,2  ,      
 ,T,Deeney          ,WAT ,F,0.14 ,0.19 ,2.9,3.2 ,6.0 ,1303,6.3  ,1.4 ,6702   ,8  ,      
 ,S,Coleman         ,EVE ,D,0.2  ,0.31 ,3.3,4.0 ,3.3 ,315 ,6.4  ,1.3 ,6522   ,9  ,      
