I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
A,Robertson,LIV,D,1.43,9,1,9.0,90,90.0,4.9,2.1
R,Firmino,LIV,F,0.78,26,3,8.7,248,82.0,8.6,28.7
E,Bailly,MUN,D,1.1,26,3,8.7,270,90.0,6.1,15.8
H,Mkhitaryan,MUN,M,0.81,26,3,8.7,244,81.0,8.3,21.6
P,Pogba,MUN,M,0.82,26,3,8.7,270,90.0,8.2,36.6
A,Hegazi,WBA,D,1.31,25,3,8.3,270,90.0,4.8,27.5
Á,Morata,CHE,F,0.59,24,3,8.0,186,62.0,10.1,13.2
J,Lössl,HUD,G,1.27,23,3,7.7,270,90.0,4.5,7.3
M,Salah,LIV,M,0.63,23,3,7.7,204,68.0,9.0,27.9
A,Nyom,WBA,D,1.14,23,3,7.7,270,90.0,5.0,2.8
M,Alonso,CHE,D,0.75,22,3,7.3,270,90.0,7.1,20.4
M,Zanka,HUD,D,1.15,22,3,7.3,270,90.0,4.6,9.5
S,Mané,LIV,M,0.55,22,3,7.3,253,84.0,9.6,29.8
C,Eriksen,TOT,M,0.55,22,3,7.3,267,89.0,9.6,21.8
C,Schindler,HUD,D,1.11,21,3,7.0,270,90.0,4.5,3.9
R,Klavan,LIV,D,1.11,7,1,7.0,90,90.0,4.5,0.5
M,van der Hoorn,SWA,D,1.11,7,1,7.0,69,69.0,4.5,0.1
S,Okaka,WAT,F,0.91,7,1,7.0,62,62.0,5.5,0.9
A,Valencia,MUN,D,0.72,20,3,6.7,270,90.0,6.5,9.7
F,Forster,SOU,G,0.94,20,3,6.7,270,90.0,5.0,7.6
A,Mooy,HUD,M,0.75,19,3,6.3,270,90.0,5.7,11.6
H,Maguire,LEI,D,0.84,19,3,6.3,270,90.0,5.1,6.3
D,de Gea,MUN,G,0.78,19,3,6.3,270,90.0,5.5,34.3
P,Jones,MUN,D,0.84,19,3,6.3,270,90.0,5.1,5.1
R,Lukaku,MUN,F,0.37,19,3,6.3,270,90.0,11.7,58.1
K,Naughton,SWA,D,0.96,19,3,6.3,267,89.0,4.5,3.4
B,Alli,TOT,M,0.45,19,3,6.3,261,87.0,9.5,34.9
W,Rooney,EVE,F,0.53,18,3,6.0,269,89.0,7.6,20.3
C,Löwe,HUD,D,0.89,18,3,6.0,270,90.0,4.5,1.2
R,Mahrez,LEI,M,0.47,18,3,6.0,270,90.0,8.5,5.0
L,Karius,LIV,G,0.82,6,1,6.0,90,90.0,4.9,0.2
D,Blind,MUN,D,0.73,18,3,6.0,270,90.0,5.5,3.3
C,Clark,NEW,D,0.89,18,3,6.0,270,90.0,4.5,1.4
B,Davies,TOT,D,0.71,18,3,6.0,259,86.0,5.6,12.5
S,Prödl,WAT,D,0.89,12,2,6.0,180,90.0,4.5,0.6
K,Walker-Peters,TOT,D,0.89,6,1,6.0,90,90.0,4.5,1.7
R,Richarlison,WAT,M,0.67,18,3,6.0,210,70.0,6.0,4.9
J,Jesé,STK,M,0.67,12,2,6.0,131,65.0,6.0,9.3
K,Schmeichel,LEI,G,0.74,17,3,5.7,270,90.0,5.0,4.0
J,Vardy,LEI,F,0.43,17,3,5.7,255,85.0,8.6,10.8
J,Gomez,LIV,D,0.82,17,3,5.7,181,60.0,4.5,1.5
M,Yoshida,SOU,D,0.74,17,3,5.7,270,90.0,5.0,2.6
F,Kiko Femenía,WAT,D,0.82,17,3,5.7,252,84.0,4.5,0.7
S,Vokes,BUR,F,0.55,16,3,5.3,236,78.0,6.0,6.3
D,David Luiz,CHE,D,0.55,16,3,5.3,270,90.0,6.0,26.3
D,David Silva,MCI,M,0.41,16,3,5.3,270,90.0,8.1,9.5
J,Butland,STK,G,0.66,16,3,5.3,270,90.0,5.0,3.9
J,Chicharito,WHU,F,0.46,16,3,5.3,270,90.0,7.1,28.5
M,Elneny,ARS,M,0.67,5,1,5.0,66,66.0,4.5,3.7
C,Fàbregas,CHE,M,0.43,10,2,5.0,170,85.0,6.9,5.0
S,Mounie,HUD,F,0.49,15,3,5.0,265,88.0,6.1,4.8
R,Bertrand,SOU,D,0.55,15,3,5.0,265,88.0,5.5,15.5
F,Fernández,SWA,D,0.67,15,3,5.0,270,90.0,4.5,2.4
J,Holebas,WAT,D,0.6,10,2,5.0,180,90.0,5.0,0.7
A,Doucouré,WAT,M,0.59,15,3,5.0,270,90.0,5.1,4.8
B,Foster,WBA,G,0.67,15,3,5.0,270,90.0,4.5,17.8
C,Dawson,WBA,D,0.6,15,3,5.0,270,90.0,5.0,5.9
T,Smith,HUD,D,0.54,14,3,4.7,236,78.0,5.0,0.5
S,Okazaki,LEI,F,0.49,14,3,4.7,205,68.0,5.5,4.5
J,Stephens,SOU,D,0.54,14,3,4.7,270,90.0,5.0,0.9
L,Fabianski,SWA,G,0.6,14,3,4.7,270,90.0,4.5,4.1
H,Gomes,WAT,G,0.6,14,3,4.7,270,90.0,4.5,1.9
C,Brunt,WBA,M,0.49,14,3,4.7,270,90.0,5.5,2.2
G,Xhaka,ARS,M,0.41,13,3,4.3,258,86.0,5.6,15.4
T,Courtois,CHE,G,0.42,13,3,4.3,270,90.0,5.5,14.8
J,Matip,LIV,D,0.42,13,3,4.3,270,90.0,5.5,3.2
M,Rashford,MUN,F,0.31,13,3,4.3,176,58.0,7.5,5.4
C,Cédric,SOU,D,0.46,13,3,4.3,270,90.0,5.0,11.8
C,Azpilicueta,CHE,D,0.31,12,3,4.0,270,90.0,6.5,9.4
W,Willian,CHE,M,0.28,12,3,4.0,257,85.0,7.1,18.6
W,Hennessey,CRY,G,0.44,12,3,4.0,270,90.0,4.5,1.7
J,Pickford,EVE,G,0.4,12,3,4.0,270,90.0,5.0,10.0
E,Kachunga,HUD,M,0.33,12,3,4.0,248,82.0,6.0,0.4
A,Moreno,LIV,D,0.44,8,2,4.0,180,90.0,4.5,1.9
E,Can,LIV,M,0.4,8,2,4.0,173,86.0,5.0,7.3
S,Agüero,MCI,F,0.17,12,3,4.0,196,65.0,11.5,10.8
D,Tadic,SOU,M,0.31,12,3,4.0,253,84.0,6.5,4.7
A,Mawson,SWA,D,0.4,12,3,4.0,270,90.0,5.0,1.1
M,Olsson,SWA,D,0.4,12,3,4.0,270,90.0,5.0,0.3
T,Abraham,SWA,F,0.36,12,3,4.0,239,79.0,5.5,3.2
M,Phillips,WBA,M,0.33,12,3,4.0,234,78.0,6.0,2.7
D,Danilo,MCI,D,0.36,12,3,4.0,182,60.0,5.5,4.7
S,Duffy,BHA,D,0.38,11,3,3.7,270,90.0,4.5,0.5
S,Ward,BUR,D,0.38,11,3,3.7,270,90.0,4.5,4.3
R,Brady,BUR,M,0.31,11,3,3.7,257,85.0,5.5,1.0
K,Zouma,STK,D,0.31,11,3,3.7,270,90.0,5.5,3.3
M,Keane,EVE,D,0.31,11,3,3.7,270,90.0,5.5,13.5
D,Calvert-Lewin,EVE,F,0.34,11,3,3.7,208,69.0,5.0,2.0
N,Otamendi,MCI,D,0.31,11,3,3.7,270,90.0,5.5,7.5
G,Jesus,MCI,F,0.16,11,3,3.7,203,67.0,10.4,8.1
R,Elliot,NEW,G,0.43,11,3,3.7,270,90.0,4.0,19.7
S,Davis,SOU,M,0.34,11,3,3.7,259,86.0,5.0,1.0
M,Gabbiadini,SOU,F,0.24,11,3,3.7,217,72.0,7.0,5.5
C,Mbemba,NEW,D,0.43,11,3,3.7,236,78.0,4.0,8.0
S,Kolasinac,ARS,D,0.25,7,2,3.5,155,77.0,6.0,10.8
V,Moses,CHE,D,0.23,7,2,3.5,178,89.0,6.5,0.9
S,Berahino,STK,F,0.25,7,2,3.5,136,68.0,6.0,0.6
M,Antonio,WHU,M,0.2,7,2,3.5,157,78.0,7.5,0.5
J,Joselu,NEW,F,0.27,7,2,3.5,109,54.0,5.5,0.3
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.45,~~~,~~~~~,~~~~~,~
C,Daniels,BOU,D,0.26,10,3,3.3,270,90.0,5.0,13.9
P,Jagielka,EVE,D,0.26,10,3,3.3,262,87.0,5.0,7.4
A,Williams,EVE,D,0.24,10,3,3.3,195,65.0,5.5,4.2
E,Ederson,MCI,G,0.24,10,3,3.3,270,90.0,5.5,4.5
F,Fernandinho,MCI,M,0.26,10,3,3.3,270,90.0,5.0,3.6
C,Atsu,NEW,M,0.26,10,3,3.3,270,90.0,5.0,3.3
N,Redmond,SOU,M,0.2,10,3,3.3,270,90.0,6.5,6.7
R,Shawcross,STK,D,0.26,10,3,3.3,270,90.0,5.0,1.8
G,Cameron,STK,D,0.29,10,3,3.3,248,82.0,4.5,0.7
J,Ayew,SWA,F,0.26,10,3,3.3,270,90.0,5.0,2.3
H,Lloris,TOT,G,0.24,10,3,3.3,270,90.0,5.5,13.4
M,Britos,WAT,D,0.29,10,3,3.3,203,67.0,4.5,2.3
A,Ramsey,ARS,M,0.14,9,3,3.0,158,52.0,7.0,3.0
D,Welbeck,ARS,F,0.13,9,3,3.0,254,84.0,7.5,1.2
A,Lacazette,ARS,F,0.1,9,3,3.0,196,65.0,10.4,13.9
M,Ryan,BHA,G,0.22,9,3,3.0,270,90.0,4.5,0.7
S,Defour,BUR,M,0.18,9,3,3.0,244,81.0,5.5,0.5
J,Cork,BUR,M,0.22,9,3,3.0,270,90.0,4.5,3.3
N,Matic,MUN,M,0.2,9,3,3.0,270,90.0,5.0,16.3
L,Baines,EVE,D,0.17,9,3,3.0,270,90.0,6.0,9.5
T,Ince,HUD,M,0.17,9,3,3.0,270,90.0,6.0,1.4
M,Albrighton,LEI,M,0.18,9,3,3.0,236,78.0,5.5,3.0
S,Mignolet,LIV,G,0.2,6,2,3.0,180,90.0,5.0,1.6
J,Stones,MCI,D,0.18,9,3,3.0,155,51.0,5.5,5.3
J,Mata,MUN,M,0.14,9,3,3.0,215,71.0,7.0,3.1
A,Pérez,NEW,F,0.18,9,3,3.0,259,86.0,5.5,1.2
E,Pieters,STK,D,0.2,9,3,3.0,268,89.0,5.0,0.9
L,Britton,SWA,M,0.22,3,1,3.0,73,73.0,4.5,0.2
L,Fer,SWA,M,0.18,9,3,3.0,270,90.0,5.5,0.6
T,Alderweireld,TOT,D,0.17,9,3,3.0,270,90.0,6.0,14.5
J,Morrison,WBA,M,0.18,3,1,3.0,69,69.0,5.5,0.0
S,Field,WBA,M,0.22,6,2,3.0,154,77.0,4.5,0.3
M,Suttner,BHA,D,0.22,9,3,3.0,270,90.0,4.5,0.7
J,Manquillo,NEW,D,0.22,9,3,3.0,270,90.0,4.5,1.1
S,Clucas,SWA,M,0.2,3,1,3.0,90,90.0,5.0,0.0
A,Begovic,BOU,G,0.16,8,3,2.7,270,90.0,4.5,5.1
M,Lowton,BUR,D,0.16,8,3,2.7,270,90.0,4.5,1.1
P,Billing,HUD,M,0.16,8,3,2.7,240,80.0,4.5,0.6
G,Wijnaldum,LIV,M,0.1,8,3,2.7,250,83.0,7.0,5.0
V,Kompany,MCI,D,0.12,8,3,2.7,270,90.0,6.0,5.7
K,De Bruyne,MCI,M,0.07,8,3,2.7,270,90.0,9.9,18.6
J,Lascelles,NEW,D,0.16,8,3,2.7,263,87.0,4.5,1.3
M,Ritchie,NEW,M,0.12,8,3,2.7,267,89.0,5.9,2.5
T,Carroll,SWA,M,0.16,8,3,2.7,270,90.0,4.5,6.2
J,Vertonghen,TOT,D,0.12,8,3,2.7,270,90.0,6.0,8.4
T,Cleverley,WAT,M,0.14,8,3,2.7,270,90.0,5.0,0.3
J,Livermore,WBA,M,0.14,8,3,2.7,270,90.0,5.0,0.3
